@@,itemlabel,positionlabel,startdate,enddate,item
---,Agak Achuil Lual,Minister of Finance and Economic Planning,2021-11-12,,Q112686449
---,Athian Ding Athian,Minister of Finance and Economic Planning,2020-09-16,2021-11-12,Q112686448
---,Barnaba Marial Benjamin,Minister of Presidential Affairs,2021-05,,Q4861322
---,Deng Alor Kuol,Minister of East African Affairs,2020-07-17,,Q5256910
---,Gabriel Changson Chang,Minister of Higher Education,2020-07-15,,Q5515569
---,Hussein Abdelbagi,Vice President of South Sudan,2020-02-23,,Q86281606
---,James Wani Igga,Vice President of South Sudan,2020-02-21,,Q6145116
---,Mahmoud Solomon,Minister of Internal Affairs,2021-11-12,,Q112688773
---,Martin Abucha,Minister of Mining,2021-12-01,,Q112709566
---,Mary Nawai Martin,Minister of Parliamentary Affairs,2020-03-12,,Q112525827
---,Mayiik Ayii Deng,Minister of Presidential Affairs,2016-04-29,2020-06-02,Q48975135
---,Mayiik Ayii Deng,Minister of Foreign Affairs and International Cooperation,2021-09-09,,Q48975135
---,Nhial Deng Nhial,Minister of Presidential Affairs,2020-06-02,2021-04-11,Q4893553
---,Rebecca Nyandeng De Mabior,Vice President of South Sudan,2020-02-21,,Q3379134
---,Riek Machar,Vice President of South Sudan,2020-02-21,,Q444994
---,Taban Deng Gai,Vice President of South Sudan,2020-02-21,,Q7672883
---,Yolanda Wel Deng,Minister of Health of South Sudan,2022-03-23,,Q112710955
