item,itemLabel,startDate,endDate,sourceDate,psid
Q16149590,Elijah Malok Aleng,2011-07-09,2011-08,,Q16149590-b6733bd2-494a-cac3-595b-6bd4e67e201d
Q112789357,Kornelio Koriom Mayiek,2011-08,2017-01,2022-06-29,Q112789357-d679805b-4bbc-e7c9-ca60-2261134a8fb8
Q112789510,Othom Rago Ajak,2017-01,2018-05,2022-06-29,Q112789510-5283955F-53C5-44BB-AA8C-3CA905D9EA36
Q112789505,Dier Tong Ngor,2018-05,2020-01,2022-06-29,Q112789505-6B89173B-1CC6-4F97-9181-657094AA8929
Q112789507,Gamal Abdalla Wani,2020-01,2020-11,2022-06-29,Q112789507-A863436D-7144-4733-8741-F9F72AA097DF
Q112789505,Dier Tong Ngor,2020-11,2022-01,2022-06-29,Q112789505-F489A67D-6AE9-4EA9-B6D0-A8DFF171E9A5
Q112789508,Moses Makur Deng,2022-01,,2022-06-29,Q112789508-92DF9596-7143-43A3-A386-D9B514CA02BD
