item,itemLabel,position,positionLabel,startDate,endDate,psid
Q107598265,John Gai Yoh,Q112684932,Minister of Higher Education,2019,2020,Q107598265-0F06668E-2BD1-4F07-B8D4-92C592956AE2
Q107598265,John Gai Yoh,Q112686383,"Minister of Education, Science and Technology",2013-08,2017-03,Q107598265-C6995A2C-084F-4E4B-97C3-AA4B75B4A5C4
Q111595868,Ruben Madol Arol Kachuol,Q112686712,Minister of Justice (South Sudan),2020,,Q111595868-DA29C692-C29E-44BB-8202-8E2437AE62EA
Q112525634,Gier Chuang Aluong,Q112686920,Minister of Roads and Bridges,2018,,Q112525634-3806A593-4B49-4554-934C-AFC525B91265
Q112685733,Josephine Lagu,Q112685688,Minister of Agriculture,2019,,Q112685733-7C66B2D9-8DF4-47B4-AFB6-8ADBD0C41568
Q112685857,Martin Elia Lomuro,Q112685940,Minister of Cabinet Affairs,2019,,Q112685857-9BF59DF1-21BE-4847-B0AB-7D54E5DC875B
Q112685866,Nadia Arop Dudi,Q112686075,"Minister of Culture, Youth and Sports",2013-08-04,2020-03,Q112685866-44FBF4F6-9A49-4059-9E57-D174822F6F5A
Q112685867,James Janga Duku,Q112685940,Minister of Cabinet Affairs,2016,2017,Q112685867-206681B4-5266-485D-996C-12B4DCA385E7
Q112685867,James Janga Duku,Q112685797,Minister of Animal Resources and Fisheries,2017,,Q112685867-4FE4D35F-2C51-41B8-B421-70E8BA2A71AF
Q112685867,James Janga Duku,Q112685797,Minister of Animal Resources and Fisheries,2016,2017,Q112685867-7A7773AF-8A12-4E32-82CB-1F9BE1FDD4C2
Q112686017,Beatrice Kamisa Wani,Q112685940,Minister of Cabinet Affairs,2017,2018,Q112686017-24C133FF-610A-4664-A091-DA0584142DC9
Q112686205,Agnes Poni Lokudu,Q112686191,Minister of Transport and Roads,2015,2017,Q112686205-23B2474A-505F-4FBF-99F7-10E3E40625D4
Q112686279,Awow Daniel Chuang,Q112686266,Minister of Petroleum and Mining,2019-06,2020-03,Q112686279-0887E7F1-7413-42CA-8B25-53E95288398E
Q112686332,Deng Deng Hoc Yai,Q112684932,Minister of Higher Education,2016,2017,Q112686332-4CDF96B6-9E3C-4C08-B626-7B437F2ECFCE
Q112686332,Deng Deng Hoc Yai,Q112686383,"Minister of Education, Science and Technology",2017-04,2020,Q112686332-F633A0A2-7085-4046-8F76-3A5E5B2E7647
Q112686373,Yoanis Okiech,Q112686350,Minister of Health,2017,2018,Q112686373-F59B75DA-E6A0-44F6-B829-20CEA881E16A
Q112686376,Kuel Aguer Kuel,Q112686350,Minister of Health,2020,,Q112686376-02A85BEE-85EB-4E17-B051-2ECAA891F6EC
Q112686447,Salvatore Garang,Q112686425,Minister of Finance and Economic Planning,2018-03,2020-09,Q112686447-3F9EF05A-ABF1-4BE4-9922-8C32930A2378
