item,itemLabel,startDate,endDate
Q5256910,Deng Alor Kuol,2011,2011
Q4893553,Nhial Deng Nhial,2011,2013
,Charles Manyang d'Awol,2013,2013
Q4861322,Barnaba Marial Benjamin,2013,2016
,Bashir Gbandi,2016,2016
Q5256910,Deng Alor Kuol,2016,2018
Q112685857,Martin Elia Lomuro,2018,2018
Q4893553,Nhial Deng Nhial,2018,2019
Q12748065,Awut Deng Acuil,2019,2020
Q90955928,Beatrice Wani-Noah,2020,2021
Q48975135,Mayiik Ayii Deng,2021,
