item,itemLabel,startDate,endDate
Q6287537,Joseph Ukel Abango,2005,2011
Q57315,Salva Kiir Mayardit,2011,2011
,Peter Adwok Nyaba,2011,2012
,Gabriel Kuc Abyei,2012,2014
,John Gai Yoh,2014,2014
,Deny Jock Chagor,2014,2015
Q12748065,Awut Deng Acuil,2015,2016
,Deng Deng Hoc Yai,2016,2017
Q57315,Salva Kiir Mayardit,2017,2017
,Aluel William Nyuon Bany,2017,2017
Q57315,Salva Kiir Mayardit,2017,2018
Q12748065,Awut Deng Acuil,2018,2019
,Deny Chigor,2019,2019
,Thuoch Loi,2019,2019
Q107598265,John Gai Yoh,2019,2020
,Peter Adwok,2020,2020
Q5515569,Gabriel Changson Chang,2020,
