@@,itemlabel,positionlabel,startdate,enddate,item
+++,Abdallah Albert,Wildlife Conservation and Tourism,,,
->,Agnes Kwaje Lasuba,"Minister of Gender, Social Welfare and Religious Affairs->Gender, Child and Social Welfare",2010-06-21,2013-07-23,Q4693074
---,Agnes Poni Lokudu,Minister of Transport and Roads,2011-07-09,2013,Q112686205
---,Alfred Lado Gore,Minister of Environment,2011-07,2013,Q11904977
---,Angelina Teny,Minister of Health of South Sudan,2012,2013,Q4762750
+++,Ann Itto Leonardo,Agriculture,,,
+++,Anthony Lino Makana,Roads and Transport,,,
->,Awut Deng Acuil,"Minister of Labour, Public Service and Human Resource Development->Labor and Public Service",2009,2016-04,Q12748065
->,Barnaba Marial Benjamin,Minister of Foreign Affairs and International Cooperation->Information,2013,2016,Q4861322
---,Betty Ogwaro,Minister of Agriculture,2011,2014,Q4898942
+++,Cirino Hetieng Ofuho,Office of the President,,,
---,Cirino Hiteng Ofuho,"Minister of Culture, Youth and Sports",2011-08-26,2013-07-23,Q56063130
->,David Deng Athorbie,Minister of Finance and Economic Planning->Finance and Economic Planning,2011-07,2011-08,Q5232921
+++,Deng Alor Kuol,Foreign Affairs,,,
---,Dhieu Mathok Diing,Minister of Electricity and Dams,2012,2015,Q112686511
---,Elizabeth Achuei,Minister of Health of South Sudan,2011,2012,Q112686371
---,Gabriel Changson Chang,Minister of Wildlife Conservation and Tourism,2013,2014,Q5515569
---,Gabriel Changson Chang,Minister of Wildlife Conservation and Tourism,2011-07-09,2013,Q5515569
---,Gabriel Changson Chang,Minister of Transport and Roads,2013,2014,Q5515569
+++,Gabriel Changson Chang,Culture and Heritage,,,
---,Gabriel Kuc Abyei,Minister of Higher Education,2012,2014,Q112686329
->,Garang Diing Akoung,"Minister of Commerce, Industry and Investment->Energy and Mining",2011-08-07,2015-02-23,Q5521927
+++,Gier Choung Aloung,Interior,,,
+++,Isaac Awan Maper,Environment,,,
+++,James Kok Ruea,Humanitarian Affairs and Disaster Managemen,,,
---,Jema Nunu Kumba,"Minister of Housing, Physical Planning and Environment",2011-07,2013-07-23,Q112686605
+++,Jemma Nunu Kumba,Housing and Physical Planning,,,
->,John Luk Jok,Minister of Justice (South Sudan)->Minister of Justice,2011,2013,Q6245500
->,Joseph Ukel Abango,"Minister of Education, Science and Technology->Higher Education, Science and Technology",2011,2013,Q6287537
---,Josephine Napon,Minister of Cabinet Affairs,2012,2013,Q112685865
---,Josephine Napon,Minister of Animal Resources and Fisheries,2012,2013,Q112685865
---,Kosti Manibe Ngai,Minister of Finance and Economic Planning,2011-08,2013,Q112686444
+++,Kosti Manubi,Minister for Cabinet Affairs,,,
+++,Luka Tombekana Monoja,Health,,,
+++,Madut Biar Yel,Communication and Postal Services,,,
+++,Makuac Teny Youk,"Youth, Sports and Recreation",,,
---,Martin Elia Lomuro,Minister of Animal Resources and Fisheries,2011,2012,Q112685857
+++,Mary Jarvis Yak,Human Resource Development,,,
---,Michael Makue Loweth,Minister of Cabinet Affairs,2013,2014,Q6832462
---,Michael Makue Loweth,Minister of Parliamentary Affairs,2011-07,2013-07-23,Q6832462
---,Michael Makue Loweth,Minister of Animal Resources and Fisheries,2013,2014,Q6832462
+++,Michael Makue Loweth,Parliamentary Affairs,,,
+++,Michael Milli Husein,General Education,,,
->,Nhial Deng Nhial,Minister of Foreign Affairs and International Cooperation->Minster of Defense,2011,2013,Q4893553
+++,Nyaluk T. Gatluak,Animal Resources and Fisheries,,,
+++,Oyay Deng Ajak,Investment,,,
---,Pagan Amum,Minister of Peace and CPA Implementation,2011-07-23,2015,Q2046108
+++,Pagan Amum Okiech,Peace and CPA Implementation,,,
->,Paul Mayom Akech,Minister of Irrigation and Water Resources->Irrigation and Water Resources,2011-07,2013,Q7152291
---,Paulino Wanawilla,Deputy Minister of Justice,2013,2016,Q112686730
---,Peter Adwok Nyaba,Minister of Higher Education,2011,2012,Q11995405
+++,Pricilla Nyanyang,Minister without Portfolio.,,,
---,Rhoda David Alak,Minister of Electricity and Dams,2011,2012,Q112686513
---,Riek Machar,Vice President of South Sudan,2011-07-09,2013-07-23,Q444994
+++,Stephen Dheiu Dau,Commerce and Industry,,,
---,Stephen Dhieu Dau,Minister of Petroleum and Mining,2011-07,2016-04,Q2344633
---,Taban Deng Gai,Minister of Health of South Sudan,2013,2015,Q7672883
