@@,item,itemlabel,party,area,startdate,enddate,gender,psid
+++,,Abuk Malual Aken,Q459960,,,,,
+++,,Abuk Payit Ayik,Q459960,,,,,
+++,,Achol Barouk Akasha,Q459960,,,,,
+++,,Adeng Leek Deng,Q459960,,,,,
+++,,Agnes Kwaje Lasuba,Q459960,,,,,
+++,,Agyou Agyou Thiep,Q459960,,,,,
+++,,Akon Bol Akok,Q459960,,,,,
+++,,Akon Diang Athian,Q459960,,,,,
+++,,Akot Dau Niyok,Q459960,,,,,
+++,,Akuot Deng Kawal,Q459960,,,,,
+++,,Aleu Ayieny Aleu,Q459960,,,,,
+++,,Alfred Wol Acwal,Q459960,,,,,
+++,,Andrew Okong Ayom,Q15980873,,,,,
+++,,Angelina Nyamouka Magoun,Q459960,,,,,
+++,,Angelo Lokinga Lohita,Q459960,,,,,
+++,,Angoryang Mark Loifidi,Q459960,,,,,
+++,,Anthony Lino Makana,Q459960,,,,,
+++,,Arop Madut Arop,Q459960,,,,,
+++,,Asha Abboz Akuei,Q459960,,,,,
+++,,Awut Deng Achuil,Q459960,,,,,
+++,,Aya Janet Alex,Q459960,,,,,
+++,,Bangout Amum Okiech,Q459960,,,,,
+++,,Barnaba Marial Benjamin,Q459960,,,,,
+++,,Barnardo Kpasira Martin,Q459960,,,,,
+++,,Barri A. Wanji,Q459960,,,,,
+++,,Bataria Mirror Maker,Q459960,,,,,
+++,,Beatrice Aber Samson,Q459960,,,,,
+++,,Bellario Ahoy Ngong,Q459960,,,,,
+++,,Benjamin Malek Alier,Q459960,,,,,
+++,,Betty Achan Ogwaro,Q459960,,,,,
+++,,Bidali Moses Onesimo,Q459960,,,,,
+++,,Bul Andrea Cosmas,Q327591,,,,,
+++,,Charles Majak Alier,Q459960,,,,,
+++,,Charles Wello Onyony,Q459960,,,,,
+++,,Daniel Awet Akot,Q459960,,,,,
+++,,Daniel Deng Monydit,Q459960,,,,,
+++,,David Deng Athorbei,Q459960,,,,,
+++,,David Gai Chan,Q459960,,,,,
+++,,David Nailo Mayo,Q459960,,,,,
+++,,David Okuer Akwany,Q459960,,,,,
+++,,David Unyo Demey,Q459960,,,,,
+++,,David Yien Bilieth,Q459960,,,,,
+++,,Debora Ajok Garang,Q459960,,,,,
+++,,Deng Dau Deng,Q459960,,,,,
+++,,Dengtiel A. Kur,Q459960,,,,,
+++,,Dousman Joyce James,Q459960,,,,,
+++,,Elias Mathuc,Q459960,,,,,
+++,,Elizabeth Adut Mel,Q459960,,,,,
+++,,Elizabeth Nyaluac Tap,Q459960,,,,,
+++,,Elizabeth Nyawac Chol,Q459960,,,,,
+++,,Emelia Aluel Bol,Q459960,,,,,
+++,,Fatima Nyawang Biliu,Q459960,,,,,
+++,,Festo Faustino Kumba,Q459960,,,,,
+++,,Francis Lokurnyang Angou,Q459960,,,,,
+++,,Gadwani Lopuke Cormoi,Q459960,,,,,
+++,,Garang Deng Akong,Q459960,,,,,
+++,,Gathuak Riak Jak,Q459960,,,,,
+++,,Gatwech Lam Puoch,Q459960,,,,,
+++,,George Costa Faustino,Q459960,,,,,
+++,,Gier Chuang Aluong,Q459960,,,,,
+++,,Gordon Matot Tut,Q459960,,,,,
+++,,Grace Amo Alex,Q459960,,,,,
+++,,Henry Dilah Odwar,Q459960,,,,,
+++,,Henry Omai Akolawin,Q459960,,,,,
+++,,Henry Stephen Danga,Q459960,,,,,
+++,,Ismail Mathew Mukhter,Q459960,,,,,
+++,,Jacob Dau Kuol,Q459960,,,,,
+++,,James Gatkur Wishierbal,Q459960,,,,,
+++,,James Janka Duku,Q459960,,,,,
+++,,James Kok Ruea,Q459960,,,,,
+++,,James Kueth Chol,Q459960,,,,,
+++,,James Lual Deng,Q459960,,,,,
+++,,James Reat Gony,Q459960,,,,,
+++,,James Wani Igga,Q459960,,,,,
+++,,Jasmine Samuel Adakayi,Q459960,,,,,
+++,,John Chol Machar,Q327591,,,,,
+++,,John Ivo Mounto,Q459960,,,,,
+++,,John Jok Chol,Q459960,,,,,
+++,,Josephine Napwon Cosmos,Q459960,,,,,
+++,,Joy Kwaje Eluzai,Q459960,,,,,
+++,,Julius Ajeo Moilinga,Q459960,,,,,
+++,,Juma AlI Malau,Q459960,,,,,
+++,,Juma Amiro Dobo,Q459960,,,,,
+++,,June Malek Kur,Q459960,,,,,
+++,,Kom Kom Geng,Q459960,,,,,
+++,,Kong Dak Jishlive,Q459960,,,,,
+++,,Kornelio Mawien Dhor,Q459960,,,,,
+++,,Kuany Ayom Deng,Q459960,,,,,
+++,,Kuony War Jok,Q459960,,,,,
+++,,Kuot Deng Kuot,Q459960,,,,,
+++,,Kur Akol Deng,Q459960,,,,,
+++,,Kutin Bayak Gil,Q459960,,,,,
+++,,Listisia Ihure Santino,Q459960,,,,,
+++,,Lucy Iyaya Loki,Q459960,,,,,
+++,,Luka T. Monoja,Q459960,,,,,
+++,,Machok Majong Jong,Q459960,,,,,
+++,,Madalena Pita Emilion,Q459960,,,,,
+++,,Madut Biar Yel,Q459960,,,,,
+++,,Majok Dut Muorwel,Q459960,,,,,
+++,,Majok Yak Majok,Q459960,,,,,
+++,,Maker Deng Malou,Q459960,,,,,
+++,,Manasseh Magok Rundial,Q459960,,,,,
+++,,Mark Lotede Lowi,Q459960,,,,,
+++,,Mark Nyipouch Ubong,Q459960,,,,,
+++,,Martha Akuany Deng,Q459960,,,,,
+++,,Martha Atong Mansor,Q459960,,,,,
+++,,Martha Ayuek Yac,Q459960,,,,,
+++,,Martha Martin Dak,Q459960,,,,,
+++,,Martin Ohuro Okeruk,Q459960,,,,,
+++,,Mary Atong Bak,Q459960,,,,,
+++,,Mary Bicensio Wani,Q459960,,,,,
+++,,Mary Kiden Enoka,Q459960,,,,,
+++,,Mary Kiden Kimbo,Q327591,,,,,
+++,,Mary Nawai Martin,Q459960,,,,,
+++,,Mary Nyaulang Ret,Q459960,,,,,
+++,,Mary Puru Michael,Q459960,,,,,
+++,,Mary Rero Jwac,Q15980873,,,,,
+++,,Mat Ron War Roy,Q459960,,,,,
+++,,Mathew Mathiang Deang,Q459960,,,,,
+++,,Mel Wal Achien Yor,Q459960,,,,,
+++,,Michael Makuei Lueth,Q459960,,,,,
+++,,Michael Muot Dieu,Q459960,,,,,
+++,,Mohammed Ahmed Musa,Q459960,,,,,
+++,,Monica Ayen Maguat,Q459960,,,,,
+++,,Negere Joseph Paciko,Q459960,,,,,
+++,,Ngong Deng Gum,Q459960,,,,,
+++,,Nhial Deng Nhial,Q459960,,,,,
+++,,Nibol Daniel Dhieu,Q459960,,,,,
+++,,Nyachut Arok,Q459960,,,,,
+++,,Nyalok Tiong Gatluak,Q459960,,,,,
+++,,Nyanyang Lok Rich,Q459960,,,,,
+++,,Nyibol Bol Matip,Q459960,,,,,
+++,,Ohidei Victor Omuho,Q327591,,,,,
+++,,Onyoti Adigo Nyikwac,Q15980873,,,,,
+++,,Parmena Awerial Along,Q459960,,,,,
+++,,Pascal Bandindi Uru,Q459960,,,,,
+++,,Paul Logale Jumi,Q459960,,,,,
+++,,Paul Mayom Akec,Q459960,,,,,
+++,,Paulino Laku Kedia,Q459960,,,,,
+++,,Peter Bashir Gbandi,Q459960,,,,,
+++,,Peter Longole Kuam,Q459960,,,,,
+++,,Philip Thon Leek,Q459960,,,,,
+++,,Ramadan El Amin,Q459960,,,,,
+++,,Rebecca Atuet Makuet,Q459960,,,,,
+++,,Rejoice Bauda Simon,Q459960,,,,,
+++,,Remijo Lasu Peter,Q459960,,,,,
+++,,Richard K. Mulla,Q327591,,,,,
+++,,Riek Machar Teny,Q459960,,,,,
+++,,Riek Maniel Ayuel,Q459960,,,,,
+++,,Ruai Kuol Jal,Q459960,,,,,
+++,,Samuel Aban Achin,Q15980873,,,,,
+++,,Samuel Duwar Deng,Q459960,,,,,
