item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender
,Abuk Malual Aken,Q459960,SPLM,,Lakes,,,
,Abuk Payit Ayik,Q459960,SPLM,,Upper Nile,,,
,Achol Barouk Akasha,Q459960,SPLM,,Northern B.G.,,,
,Adeng Leek Deng,Q459960,SPLM,,Jonglei,,,
,Agnes Kwaje Lasuba,Q459960,SPLM,,Central Eq.,,,
,Agyou Agyou Thiep,Q459960,SPLM,,Northern B.G.,,,
,Akon Bol Akok,Q459960,SPLM,,Northern B.G.,,,
,Akon Diang Athian,Q459960,SPLM,,Warrap,,,
,Akot Dau Niyok,Q459960,SPLM,,Upper Nile,,,
,Akuot Deng Kawal,Q459960,SPLM,,Warrap,,,
,Aleu Ayieny Aleu,Q459960,SPLM,,Warrap,,,
,Alfred Wol Acwal,Q459960,SPLM,,Northern B.G.,,,
,Andrew Okong Ayom,Q15980873,SPLM-DC,,Upper Nile,,,
,Angelina Nyamouka Magoun,Q459960,SPLM,,Jonglei,,,
,Angelo Lokinga Lohita,Q459960,SPLM,,Eastern Eq.,,,
,Angoryang Mark Loifidi,Q459960,SPLM,,Eastern Eq.,,,
,Anthony Lino Makana,Q459960,SPLM,,Western Eq.,,,
,Arop Madut Arop,Q459960,SPLM,,Warrap,,,
,Asha Abboz Akuei,Q459960,SPLM,,Warrap,,,
,Awut Deng Achuil,Q459960,SPLM,,Warrap,,,
,Aya Janet Alex,Q459960,SPLM,,Central Eq.,,,
,Bangout Amum Okiech,Q459960,SPLM,,Jonglei,,,
,Barnaba Marial Benjamin,Q459960,SPLM,,Jonglei,,,
,Barnardo Kpasira Martin,Q459960,SPLM,,Western B. G.,,,
,Bataria Mirror Maker,Q459960,SPLM,,Unity,,,
,Beatrice Aber Samson,Q459960,SPLM,,Eastern Eq.,,,
,Bellario Ahoy Ngong,Q459960,SPLM,,Northern B.G.,,,
,Benjamin Malek Alier,Q459960,SPLM,,Jonglei,,,
,Betty Achan Ogwaro,Q459960,SPLM,,Eastern Eq.,,,
,Bidali Moses Onesimo,Q459960,SPLM,,Central Eq.,,,
,Bul Andrea Cosmas,Q327591,Independent,,Eastern Eq.,,,
,Charles Majak Alier,Q459960,SPLM,,Warrap,,,
,Charles Wello Onyony,Q459960,SPLM,,Jonglei,,,
,Daniel Awet Akot,Q459960,SPLM,,Lakes,,,
,Daniel Deng Monydit,Q459960,SPLM,,Lakes,,,
,David Deng Athorbei,Q459960,SPLM,,Lakes,,,
,David Gai Chan,Q459960,SPLM,,Jonglei,,,
,David Okuer Akwany,Q459960,SPLM,,Jonglei,,,
,David Unyo Demey,Q459960,SPLM,,Upper Nile,,,
,David Yien Bilieth,Q459960,SPLM,,Jonglei,,,
,Debora Ajok Garang,Q459960,SPLM,,Unity,,,
,Deng Dau Deng,Q459960,SPLM,,Jonglei,,,
,Dengtiel A. Kur,Q459960,SPLM,,Jonglei,,,
,Dousman Joyce James,Q459960,SPLM,,Central Eq.,,,
,David Nailo Mayo,Q459960,SPLM,,Eastern Eq.,,,
,Luka T. Monoja,Q459960,SPLM,,Central Eq.,,,
,Martha Martin Dak,Q459960,SPLM,,Upper Nile,,,
,Richard K. Mulla,Q327591,Independent,,Western Eq.,,,
,Riek Machar Teny,Q459960,SPLM,,Upper Nile,,,
,Theophilus Ochang Lotti,Q459960,SPLM,,Eastern Eq.,,,
,Elias Mathuc,Q459960,SPLM,,Western B. G.,,,
,Elizabeth Adut Mel,Q459960,SPLM,,Northern B.G.,,,
,Elizabeth Nyaluac Tap,Q459960,SPLM,,Jonglei,,,
,Elizabeth Nyawac Chol,Q459960,SPLM,,Upper Nile,,,
,Emelia Aluel Bol,Q459960,SPLM,,Lakes,,,
,Fatima Nyawang Biliu,Q459960,SPLM,,Unity,,,
,Festo Faustino Kumba,Q459960,SPLM,,Western Eq.,,,
,Francis Lokurnyang Angou,Q459960,SPLM,,Jonglei,,,
,Gadwani Lopuke Cormoi,Q459960,SPLM,,Eastern Eq.,,,
,Garang Deng Akong,Q459960,SPLM,,Northern B.G.,,,
,Gathuak Riak Jak,Q459960,SPLM,,Upper Nile,,,
,Gatwech Lam Puoch,Q459960,SPLM,,Upper Nile,,,
,George Costa Faustino,Q459960,SPLM,,Western Eq.,,,
,Gier Chuang Aluong,Q459960,SPLM,,Jonglei,,,
