itemLabel
Mohammed El-Haj Baballa
Losuba Ludoru Wango
Lilian Richard Lako
Panuel Dumo Logiron
Oyet Nathaniel Pierino
Emmilio William Odinga
Ukuni Michael Paulion
Marko Lokidor Lochapio
Mary Alfonse Lodira
Paris Nyanuba Chatim
James Yiel Yoah Nhial
Mary Jok Bukjok
Gege Morris Konyi
Christopher Gawar Thichot
Manoa Peter Gatkuoth
Dr. Deng Alier Kuol
Gordon Deng Lam
Agok Makur Kur
Susan Peter Machar
John Clement Kuc
Angok Arthur Akwin
Ayii Ayii Akol
Unguach Jonkor Unguach
Dr. James Mabor Gatkuoth
Rebecca Kur Nyikay
Peter Nhial Koch
Theji Da-Dut Deng
Farouk Gatkuoth Kam
Anna Samuel Pam
Peter Kuol Thian
Jackline Joel Jago
Puot Kang Chuol
Abduldaim Deng Machar
Daud Juma Asko
Gabriel Thokuj Deng
Mohamed Chuom Aliny
Nyabel Simon Thach
Thokhat Kor Wieu
Nyaduer Girwath Jok
Yolanda Awel Deng
Matuany Muorwel Matuany
Manasseh Zindo
Agrey Idris Ezbon
Adel Elia Sandrai
Costa Achilla Falanguru
Gloria Jacob Zamoi
Ufindi Ndima Fibel
Dahia Ahmed Darhael-Dor
Asuma Nicola Dima
Simon Udom Ayii
