item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q112726617,Joy Owach Nyiker,,,,,2021-07-03,,,Q112726617-24475A70-CD5C-4B0A-93E2-0C610320A68B
Q112726618,Juan Dar,,,,,2021-07-03,,,Q112726618-F9F59D59-6335-4E41-B143-F97D06102060
Q112726619,Jules Reuben Nakobo,,,,,2021-07-03,,,Q112726619-8108AC44-587C-4AAB-B25E-24DBA14AB8F3
Q112726029,Kennedy Gayin Ngare,,,,,2021-07-03,,male,Q112726029-C544E316-28AF-42A2-9153-6A863841BC73
Q112726620,Khamis Ismael Konyi,,,,,2021-07-03,,,Q112726620-60B6E4DD-5B5D-4DD6-A5F1-AC83C4572212
Q112726621,Kornelio Kenyi Befo,,,,,2021-07-03,,,Q112726621-A980B623-F13E-4288-AA94-B34EF0C40864
Q112726622,Laveric Liwa Dongoro,,,,,2021-07-03,,,Q112726622-69D93940-EC76-4EE0-BA75-00EFA0D2059B
Q112726623,Linda Andrea Apaya,,,,,2021-07-03,,,Q112726623-3271E7BD-B58D-4731-962E-0E67D0655B48
Q112726624,Louis Victor Akwar,,,,,2021-07-03,,,Q112726624-888E80BD-FDAE-4019-B30A-6C585AE2A075
Q112726625,Madelino Angelo Elzain,,,,,2021-07-03,,,Q112726625-65EF61B2-38BD-4642-B453-02C544886943
Q112726034,Majak Machar Dholbai,,,,,2021-07-03,,,Q112726034-54C50EB5-7068-4DA1-9071-B6A6909B5438
Q112726627,Malok Daniel Achu,,,,,2021-07-03,,,Q112726627-4DC66E6F-A6E8-4EAE-9E8D-E2072F74FC25
Q112726628,Manoah Aligo Donga,,,,,2021-07-03,,,Q112726628-CF02DAF3-17AC-4530-8DAA-09CE720076A2
Q112726629,Margret John Jok,,,,,2021-07-03,,,Q112726629-DCD4D45C-EF8F-4183-8A3B-97BBAF93F0D7
Q112726630,Margret Vito Akwar,,,,,2021-07-03,,,Q112726630-E7340789-F0FA-4E0E-99C7-F29B3A9645C8
Q112726035,Marko Lokale,,,,,2021-07-03,,,Q112726035-FEB774A7-204E-425D-B264-5FA2F4C7B9C5
Q112726631,Mary Apar Deng,,,,,2021-07-03,,,Q112726631-AB9F5D8A-61CC-474A-9581-170DC063A1C8
Q112726632,Mary Ayen Mijok,,,,,2021-07-03,,,Q112726632-1A06CE11-9CD2-4508-A3BB-976DBB205200
