item,itemLabel,position,positionLabel,startDate,endDate,psid
Q107598265,John Gach Yoh,Q112686383,"Education, Science, and Technology",2013-08,2017-03,Q107598265-C6995A2C-084F-4E4B-97C3-AA4B75B4A5C4
Q112525561,Aleu Ayeny Aleu,Q112686903,Interior and Wildlife Conservation,2013-07-31,2016-04,Q112525561-14D122CE-BC03-4A9D-9500-3E98C5CFD23A
Q112525649,James Janka Duku,Q112685940,Minister of Cabinet Affairs,2016,2017,Q112525649-0A86F007-0E4E-4B02-9FCC-F3EACBF70631
Q112525649,James Janka Duku,Q112685797,Minister of Animal Resources and Fisheries,2016,2017,Q112525649-7C17F453-1C5B-4491-A9BD-0C6BC3D8CEE7
Q112684322,Deng Arop Kuol,Q112700865,"Deputy Minister, Ministry of Land, Housing and Physical Planning",2013-07-31,2016-04-28,Q112684322-D137348E-175E-4156-96B3-044542C859AF
Q112685739,Beda Machar Teng,Q112685688,"Agriculture, Forestry, Tourism and Animal Resources and Fisheries",2015,2016,Q112685739-0A2AF564-4B89-4195-9B9B-1CE2F2C29BB1
Q112685857,Martin Elia Lomuro,Q112685940,Cabinet Affairs,2013-07-31,2016-04-28,Q112685857-12D8302E-BF06-4F98-A65C-C8DA9822BCEB
Q112685866,Nadia Arop Dudi,Q112686075,"Minister of Culture, Youth and Sports",2013-08-04,2020-03,Q112685866-44FBF4F6-9A49-4059-9E57-D174822F6F5A
Q112685866,Nadia arop Dudi,Q112700860,"Deputy Minister, Ministry of Agriculture, Forestry, Tourism and Animal Resources and Fisheries",2013-07-31,2016-04-28,Q112685866-4E8F3CB8-9CBA-4314-9DF5-86D441098447
Q112686205,Agnes Poni Lokudu,Q112686191,Minister of Transport and Roads,2015,2017,Q112686205-23B2474A-505F-4FBF-99F7-10E3E40625D4
Q112686205,Agnes Poni Lokudu,Q112686191,Minister of Transport and Roads,2014,2015,Q112686205-C136FD81-6A26-4D09-A4AF-36ADF757F8F6
Q112686329,Gabriel Kuc Abyei,Q112710626,Deputy Minister of Higher Education,2011-08-26,2014,Q112686329-81647180-0A16-4818-82C7-82E563C38A41
Q112686446,Agrey Tisa Sabuni,Q112686425,"Finance, Commerce, and Economic Planning",2013-07-31,2016-04-28,Q112686446-501EA8CA-4273-491C-97A9-5C347770198F
