item,itemLabel,startDate,endDate,sourceDate,psid
Q112684319,Arop Moyak,2008-08-31,2009-12-30,2022-06-24,Q112684319-47DC58A9-9C82-4981-944B-2F843E43A625
Q112684322,Deng Arop Kuol,2009-12-30,2013-05-21,2022-06-24,Q112684322-2A1F1505-2F71-4713-8930-B411B9BDF613
Q112684324,Kuol Monyluak Dak,2013-05,2015-03,2022-06-24,Q112684324-C91281AE-568F-47B3-AA9B-FAF48BB19586
Q112684327,Chol Deng Alak,2015-03,2017-02,2022-06-24,Q112684327-55980209-4D46-445A-8098-B1BAC819DE43
Q112684334,Kuol Alor Kuol Arop,2017-02,2020-06,2022-06-24,Q112684334-A3B8FAD2-31EB-4059-ACD2-0C98F874F6A4
Q96760058,Kuol Deim Kuol,2020-06-29,,,Q96760058-995FC840-7600-4B78-832E-44ED1399FCD0
