item,itemLabel,startDate,endDate,sourceDate,psid
Q5232921,David Deng Athorbie,2011-07,2011-08,2022-06-24,Q5232921-ADF7D647-C886-41A8-9CF5-CC12F6A8D4B2
Q112686444,Kosti Manibe Ngai,2011-08,2013,2022-06-24,Q112686444-A748AA1B-0A6F-4909-A981-481766197188
Q112686445,Marial Awou,2013,2013,2022-06-24,Q112686445-01AA308B-AB7B-4D32-892E-06E5A18C63E2
Q112686446,Aggrey Tisa Sabuni,2013-10,2015-01,2022-06-24,Q112686446-FCED49F3-97C1-48F4-A8DB-0C27C6C19CE4
Q5232921,David Deng Athorbie,2015-01,2016-07,2022-06-24,Q5232921-8A7AE2F2-E68B-4E40-9444-02346884D1DC
Q2344633,Stephen Dhieu Dau,2016-07,2018-03,2022-06-24,Q2344633-66AEC0BC-566A-4F6C-8E08-2627D031D992
Q112686447,Salvatore Garang,2018-03,2020-09,2022-06-24,Q112686447-3F9EF05A-ABF1-4BE4-9922-8C32930A2378
Q112686448,Athian Ding Athian,2020-09,2021-11,2022-06-24,Q112686448-B8D113FA-B64E-4B85-9831-E6566F20BD14
Q112686449,Agak Achuil Lual,2021-11,,2022-06-24,Q112686449-DFE5375D-3C51-4DEE-9EFB-6E600E365B8A
