itemLabel,areaLabel,partyLabel
Pascallina Philip Waden,Central Equatoria,National Agenda
Jenti Poni Bullen,Central Equatoria,DC
Ukacha Mugusto Aweri,Eastern Equatoria,SPLM
Odiongo Icha Joyce,Eastern Equatoria,SPLM
Justin Kerepi Erat,Eastern Equatoria,SPLM
Beatrice Aber Samson Otto,Eastern Equatoria,SPLM
Julius Ajeo Moilingi Moi,Eastern Equatoria,SPLM
Betty Achan Ogwar,Eastern Equatoria,SPLM
Pasca Hefita Oduho,Eastern Equatoria,SPLM
Tobiolo Alberio Oromo,Eastern Equatoria,SPLM
Tulio Odongi Ayahu,Eastern Equatoria,SPLM
Martin Ohuro Okerruk,Eastern Equatoria,SPLM
Victor Omuho Ohidei,Eastern Equatoria,SPLM
Ubuch Ujwok Akuo,Eastern Equatoria,SPLM
Martin Odwar Onuha,Eastern Equatoria,SPLM
Veronica Redento Onzi Koma,Eastern Equatoria,SPLM
Adelino Wani Michael Opi,Eastern Equatoria,SPLM
Ceasor Baye Oyalala,Eastern Equatoria,SPLM
David Nailo Mayo,Eastern Equatoria,SPLM
Cypriano Peter Lokale,Eastern Equatoria,SPLM
Mark Lowi Lochebe,Eastern Equatoria,SPLM
Josephine Napon Cosmos,Eastern Equatoria,SPLM
Lucy Iyaya Lokadito,Eastern Equatoria,SPLM
Peter Longole Kuam,Eastern Equatoria,SPLM
Mark Lolibes Lojore,Eastern Equatoria,SPLM
Unice Nakwar Paul,Eastern Equatoria,SPLM
Angelo Lokinga Lotaba,Eastern Equatoria,SPLM
Christine Nabol Peter,Eastern Equatoria,SPLM
Letisia Thure Santino,Eastern Equatoria,SPLM
Jamal Lomongin Peter,Eastern Equatoria,SPLM
Hellen Orasio,Eastern Equatoria,SPLM
Abdalla Kapelo Ameri,Eastern Equatoria,SPLM
Daniel Narol Locheck,Eastern Equatoria,SPLM
Patrick Lodinga Koteen,Eastern Equatoria,SPLM
Alley Othura Fanan,Eastern Equatoria,SPLM-IO
Oyet Nathaniel Pierino,Eastern Equatoria,SPLM-IO
Nawume Hisiaha Thomas,Eastern Equatoria,SPLM-IO
Lemin Erick Isaac Santo,Eastern Equatoria,SPLM-IO
Emoya Silvia Salvatoria,Eastern Equatoria,SPLM-IO
Nelson Uthow Ugang,Eastern Equatoria,SPLM-IO
Adelle Faustino Lotede,Eastern Equatoria,SPLM-IO
Lokeris Lomelo Logewuo,Eastern Equatoria,SPLM-IO
Stephen Lowosio Lomugin,Eastern Equatoria,SPLM-IO
Zainab Khamis Lorumio,Eastern Equatoria,SPLM-IO
Oresto Lopara Simon,Eastern Equatoria,SPLM-IO
Apolo Alfred Ruben Gita,Eastern Equatoria,SSOA
Samuel Buhori Lotti Theophilus,Eastern Equatoria,SSOA
Daniel Opio Akau,Eastern Equatoria,OPP
