item,itemLabel,startDate,endDate
Q5256910,Deng Alor Koul,2005,2011
,Martin Elia Lomuro,2011,2011
,Nadia Arop Dudi,2011,2011
Q6245500,John Luk Jok,2012,2012
,Josephine Napon,2012,2013
Q6832462,Michael Makue Loweth,2013,2014
Q6177210,Jemma Nunu Kumba,2014,2015
Q42659471,Rebecca Joshua Okwaci,2015,2016
,Deng Deng Akoon,2016,2016
,James Janga Duku,2016,2017
,Peter Bashir Bande,2017,2017
,Beatrice Kamisa Wani,2017,2018
Q4762750,Angelina Teny,2018,2018
Q2046108,Pagan Amum,2018,2018
Q57315,Salva Kiir,2018,2019
,Joseph Malek Arok,2019,2019
,Martin Elia Lomuro,2019,
