prefix,itemLabel
,Ali Adillan Nur-aldin
,Asha Abdalsalam Alawad
,Cecilia Achuil Mathew
,Deng Chol Deng
,Deng Goch Ayuel
,Fatima Kur Chol
,Bur Gatwich Kuny
,Lang Tap Lam
,Puok Bol Mut
,Mary Yual Badeng
,Nadia Arop Dudi
,Majok Dau Chol Lak
,Michael Rut Koryom
,Benjamin Bol
,Johnson Ollami
,Mayiik Ayii Deng
Mr.,Lual Ding Wol
Mr.,Alfred Lado Gore
Mr.,Martin Elia Lomuro
Mr.,Joseph Monytuil Weijang
Mr.,Jacob Kenyi Leju
Ms.,Sabina Dario Lokolong
Ms.,Gloria Philemon Baime
Gen.,Salva Mathok Gengdit
Mr.,Agoth Ngot Riiny
Mr.,Elia Emilio Kheir el Seed
Mr.,Makuac Majok Akot
Mr.,Majur Babur Ajala
Dr.,William Othwon Awer
Mr.,Gatluak Ruon Nyuot
Mr.,Abraham Biar Deng
Mr.,Isaac Deng Tur Agok
Mr.,Reath Muoch Tang
Mr.,John Wiyual Nguot
Mr.,Domach Gatpan
Mr.,Martin Mabil Kong
Gen.,Alison Manani Magaya
Mr.,Caeser Baya Loyala
Mr.,Ubuch Ujwok Akuo
Mr.,Peter Samuel Mogga
Mr.,Scopas Taban Lokubang
Sultan,Tem Kuac Ngor
Mr.,Deng Majok Athian
Ms.,Mary Jervas Yak
Mr.,Paulino Wanawilla Unango
Mr.,Oyai Deng Ajak
Mr.,John Luk Jok
Mr.,Kosti Manibe Ngai
Ms.,Jemma Nunu Kumba
Ms.,Awel Mawien Atem
Ms.,Nyanaciek Nhial Majiit
Ms.,Sarah Benjamin Gabriel
Mr.,Akol Paul Kordit
Mr.,Peter Charlaman Chawach
Ms.,Georgeta Lat Mading de Bilkuei
Mr.,Simon Deng Bol
Bishop,Gabriel Roric Jur Yor
Ms.,Fadwa Chwei Deng Yol
Mr.,Anthony Jervase Yaak
Mr.,Pitia Solomon Nyambur
Ms.,Sophia Pal Gai
Mr.,Franco Akech Ring
Mr.,Wilson Lodiong Sebit
Mr.,John Mourcol Mayiei
Mr.,Peter Mariel Deng
Mrs.,Adriana Ali Khamis
Mr.,Mayom Kuoc Malek
Dr.,Stanslauas Wani Jada
Eng.,Sebit Abbe Worijibi
Mrs.,Ayen Luka Baak
Gen.,Peter Kozia Cirillo
Prof.,Ajang Bior Duot
Mr.,Clement Khamis Komoyangi
Mrs.,Abuk Ngong Nyinkuany
Dr.,Toby Maduot Parek
Mr.,Philip Palet Gadin
Mr.,John Paul Lako
Mrs.,Margaret Samuel Aru Bol
Prof.,Francis Ben Ataba
Mr.,James Sigin Banak
Mr.,Gabriel Guot Guot
Ms.,Genivia Eliaba Jenaba
