ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q112710067,2011 Caretaker Cabinet of South Sudan,2011-07-10,11,,,2011-08-26,11,,,,,Q112710382,2011-2013 Cabinet of South Sudan,,,,
,Q112710382,2011-2013 Cabinet of South Sudan,2011-08-26,11,,,2013-07-23,11,,,,,Q112689988,2013-2016 Cabinet of South Sudan,,,,
,Q112689988,2013-2016 Cabinet of South Sudan,2013-07-31,11,,,2016-04-28,11,,,Q112710067,2011 Caretaker Cabinet of South Sudan,Q112690118,2016-2020 Cabinet of South Sudan,,,,
,Q112690118,2016-2020 Cabinet of South Sudan,2016-04-29,11,,,2020-03-01,10,,,Q112689988,2013-2016 Cabinet of South Sudan,Q112316373,Revitalised Transitional Government of National Unity,,,,
,Q112316373,Revitalised Transitional Government of National Unity,2020-02-22,11,,,,,,,Q112690118,2016-2020 Cabinet of South Sudan,,,,,,
