prefix,itemLabel
Hon.,Remy Oller Itorong
Hon.,Canon Clement Hillary
Hon.,Chan Malual Chan
Hon.,Luis Vito Akuar
Hon.,Goar Pal Wedeng
Hon.,Victor Edward Epafura
Hon.,Isaac Sumu Keliopa
Hon.,Diacon Recardo Ugali
Hon.,Aldo Ajo Deng
Hon.,Donato Dimo Wol
Hon.,Marko Lokale
Hon.,Anei Angok Anei
Hon.,James Magok Ater
Hon.,Majak Machar Dolbai
Hon.,John Jooyul Yol
Hon.,Jaden Jada Solomon
Hon.,Rieu Gatlier Gai Chan
Hon.,Joseph Aban Deng
Hon.,James Thuc Arial
Dr.,Haruun Ruun Lual
Mr.,Kornelius Kenyi Befo
Sultan,Kong Kong Bol Riam
Mr.,Isaiah Kulang Mabor Deng
Mr.,Kennedy Gayin Ngare
Mr.,Arthur Akuien Chol
Mr.,Gismalla Abdalla Rasas
Mr.,Michael Mario Dhuor
Mr.,Joseph Bol Chan
Ms.,Mary Ayiam Majiok Kiir
Mr.,Faustino Atem Gualdit
Mr.,Kamilo Athian Kuot Athian
Mr.,Isaac Kon Anok
Mr.,Oliver Albino Batali
Mr.,Angelo Beda Bangbora
Mr.,Gabriel Yoal Dok
Mr.,Eliaba James Surur
Mr.,John Moswa Madanza
Mr.,Joshua Dau Diu
Mr.,Sultan Ismail Konyi
Ms.,Nyandeng Kerubino Kuanyin
Ms.,Sarah Nyakuoth Kuach
Mr.,Michael Losike
Ms.,Annesia Achieng
Ms.,Alice Odhok Kiir
Mr.,Nelson Lumota Lonyika
Dr.,Vigil Modi Jima
Dr.,Constantine Jervase Yak
Mr.,James Wal Garang
Mr.,Ruot Bol Reth
