position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Member of the Council of States,Aldo Ajo Deng,Q112725993,2011-08-05,2021-05,,,,,
Member of the Council of States,Alice Odhok Kiir,Q112725995,2011-08-05,2021-05,female,,,,
Member of the Council of States,Anei Angok Anei,Q112725998,2011-08-05,2021-05,,,,,
Member of the Council of States,Angelo Beda Bangbora,Q112725999,2011-08-05,2021-05,male,,,,
Member of the Council of States,Annesia Achieng,Q112726000,2011-08-05,2021-05,female,,,,
Member of the Council of States,Arthur Akuien Chol,Q112726001,2011-08-05,2021-05,male,,,,
Member of the Council of States,Canon Clement Hillary,Q112726002,2011-08-05,2021-05,,,,,
Member of the Council of States,Chan Malual Chan,Q112726003,2011-08-05,2021-05,,,,,
Member of the Council of States,Constantine Jervase Yak,Q112726004,2011-08-05,2021-05,,,,,
Member of the Council of States,Diacon Recardo Ugali,Q112726006,2011-08-05,2021-05,,,,,
Member of the Council of States,Donato Dimo Wol,Q112726007,2011-08-05,2021-05,,,,,
Member of the Council of States,Faustino Atem Gualdit,Q112726008,2011-08-05,2021-05,male,,,,
Member of the Council of States,Gabriel Yoal Dok,Q112726010,2011-08-05,2021-05,male,,,,
Member of the Council of States,Gismalla Abdalla Rasas,Q112726011,2011-08-05,2021-05,male,,,,
Member of the Council of States,Goar Pal Wedeng,Q112726012,2011-08-05,2021-05,,,,,
Member of the Council of States,Haruun Ruun Lual,Q112726013,2011-08-05,2021-05,,,,,
Member of the Council of States,Isaac Kon Anok,Q112726015,2011-08-05,2021-05,male,,,,
Member of the Council of States,Isaac Sumu Keliopa,Q112726016,2011-08-05,2021-05,,,,,
Member of the Council of States,Isaiah Kulang Mabor Deng,Q112726017,2011-08-05,2021-05,male,,,,
Member of the Council of States,Jaden Jada Solomon,Q112726018,2011-08-05,2021-05,,,,,
Member of the Council of States,James Magok Ater,Q112726019,2011-08-05,2021-05,,,,,
Member of the Council of States,James Thuc Arial,Q112726020,2011-08-05,2021-05,,,,,
Member of the Council of States,James Wal Garang,Q112726021,2011-08-05,2021-05,male,,,,
Member of the Council of States,John Jooyul Yol,Q112726022,2011-08-05,2021-05,,,,,
Member of the Council of States,John Moswa Madanza,Q112726023,2011-08-05,2021-05,male,,,,
Member of the Council of States,Joseph Aban Deng,Q112726024,2011-08-05,2021-05,,,,,
