position,person,personID,start,gender,DOB,DOD,image,enwiki
President,Salva Kiir Mayardit,Q57315,2011-07-09,male,1951-09-13,,Salva Kiir Mayardit.jpg,Salva Kiir Mayardit
Vice President,Rebecca Nyandeng De Mabior,Q3379134,2020-02-21,female,1956,,"Rebecca Nyandeng De Mabior February 10, 2006.jpg",Rebecca Nyandeng De Mabior
Vice President,Riek Machar,Q444994,2020-02-21,male,1953,,Riek Machar VOA photo.jpg,Riek Machar
Vice President,James Wani Igga,Q6145116,2020-02-21,male,1949,,James Wani Igga.JPG,James Wani Igga
Vice President,Taban Deng Gai,Q7672883,2020-02-21,male,1959,,Taban Deng Gai.png,Taban Deng Gai
Vice President,Hussein Abdelbagi,Q86281606,2020-02-23,male,,,,Hussein Abdelbagi
Speaker of the National Legislature,Jemma Nunu Kumba,Q6177210,2021-08-02,female,1966,,,Jemma Nunu Kumba
