item,itemLabel,startDate,endDate,sourceDate,psid
Q112684403,Abdullah Amiri,1997-12,2000-01,2022-06-24,Q112684403-BF7712F8-9E18-4531-BB1B-AB19F85CE78C
Q112684405,Abdullah Allajabo,2000-01,2001-02,2022-06-24,Q112684405-2D8ACA22-0D74-4994-A5B7-0CEFC3FC563A
Q112684406,Caesar Baya Lolaya,2001-02,2005,2022-06-24,Q112684406-01B62A08-7C61-4C9B-A736-AFFA946F3778
Q16145815,Daniel Awit Akot,2005-07-18,2005-09-30,2022-06-24,Q16145815-B292563E-4906-40D2-B6E8-5A7846197195
Q4734267,Aloisio Emor Ojetuk,2005-09-30,2010-02-24,2022-06-24,Q4734267-65F84DD4-0CAC-45D1-9188-282A4BC179C4
Q112684409,Johnson Juma Okot,2010-02-24,2010-05-20,2022-06-24,Q112684409-77C9FA60-BFA8-4C11-94D7-13C427F93173
Q16202255,Louis Lobong,2010-05-20,2011-07-09,2022-06-24,Q16202255-68194C87-5E29-40DB-8EB5-198FC73A9304
Q112684409,Johnson Juma Okot,2011-07-09,2019-07-09,2022-06-24,Q112684409-56717C18-7B4F-4ABD-89FC-2A88114460F4
Q16202255,Louis Lobong Lojore,2019-07,2020-05,2022-06-24,Q16202255-0570B176-57FC-47A1-84E1-EF43BE5AFA83
Q16202255,Louis Lobong Lojore,2020-06,,2022-06-24,Q16202255-FE2840AF-EB30-472E-97FA-A0E2FCE7825B
